frame_id,person_id,gx,gy
1,0,0.25615853,15.541797
1,1,0.5375799,11.604393
1,2,16.204193,14.753658
1,3,10.77997,20.662476
1,4,-3.9395194,6.506012
1,5,9.693862,14.951588
1,6,4.342818,26.310337
1,7,3.8783135,6.304458
1,8,16.973679,3.7805953
1,9,18.513424,6.023741
1,10,-2.3366628,3.2882042
1,11,5.3986573,3.4752464
1,12,10.34256,9.30203
1,13,12.181021,9.74064
1,14,18.979015,24.07777
1,15,-1.4756067,2.9951074
1,16,8.042837,5.008308
1,17,4.3978114,6.694311
1,18,7.4971404,7.35067
1,19,8.529604,4.6421204
1,20,9.227146,4.8121495
1,21,0.6376469,21.569624
1,22,10.192897,2.520084
1,23,15.135689,3.221669
1,24,-2.9015062,6.724607
1,25,-1.022126,2.872886
1,26,12.197736,6.956478
1,27,-2.9958642,4.5067115
1,28,-1.1273128,2.9216955
1,29,15.195959,15.537742
1,30,2.6578827,2.55245
1,31,-5.092185,4.8253827
1,32,-4.792719,20.563786
1,33,13.651865,15.489173
1,34,15.030484,3.2949088
1,35,-2.6322315,6.846315
1,36,6.7336144,5.521576
2,0,4.362631,26.310345
2,1,0.48483357,11.677731
2,2,10.733459,20.29441
2,3,0.22303686,15.688654
2,4,-3.946347,6.627923
2,5,16.237188,14.753648
2,6,3.884945,6.206894
2,7,9.654125,14.657828
2,8,16.960258,3.6586847
2,9,0.73654664,21.594166
2,10,5.3986387,3.5483432
2,11,18.939455,24.12693
2,12,9.240281,4.76337
2,13,10.34895,9.033323
2,14,-1.4756067,2.9951074
2,15,18.520014,6.023735
2,16,-2.3433185,3.336915
2,17,8.536183,4.642114
2,18,7.5037594,7.570326
2,19,4.3912435,6.669922
2,20,8.0164795,4.862033
2,21,-2.6456926,7.0170317
2,22,12.168002,9.887266
2,23,-3.0412464,4.190061
2,24,15.076321,3.1485991
2,25,2.6316333,2.503774
2,26,15.1562,15.439769
2,27,-4.7953777,21.740784
2,28,-1.0548992,2.8242211
2,29,10.205985,2.422619
2,30,12.184618,7.005307
2,31,13.651831,15.46468
2,32,6.7138777,5.5703673
2,33,-5.072422,4.801002
2,34,-1.1534778,2.8486736
2,35,17.711908,1.0744135
2,36,4.5453672,15.712002
2,37,1.4337078,4.356322
3,0,4.369235,26.310347
3,1,0.18351375,15.688664
3,2,0.47160947,11.726612
3,3,16.23728,14.802629
3,4,16.914064,3.6099627
3,5,10.726404,19.730154
3,6,3.8915627,6.1337214
3,7,9.647401,14.437525
3,8,-3.952919,6.6279283
3,9,5.392051,3.597082
3,10,18.92623,24.126926
3,11,9.240269,4.738987
3,12,7.5037637,7.5947337
3,13,4.3978114,6.694311
3,14,-1.482176,2.9951143
3,15,18.513424,6.023741
3,16,-2.3564565,3.3369284
3,17,7.9967413,4.862051
3,18,-2.6327245,7.1145725
3,19,8.549334,4.617721
3,20,15.0170355,3.1242836
3,21,0.7695232,21.59417
3,22,10.225667,2.3495126
3,23,2.6316333,2.503774
3,24,12.148367,10.009467
3,25,10.342275,8.9112
3,26,-3.0479097,4.238787
3,27,15.149725,15.513258
3,28,-1.0483669,2.8485637
3,29,12.197843,7.054116
3,30,6.7270374,5.667907
3,31,-1.1534778,2.8486736
3,32,-5.065853,4.8009963
3,33,17.69869,1.0500685
3,34,13.658463,15.489171
3,35,-4.799309,20.563786
4,0,0.45186275,11.726622
4,1,4.362631,26.310345
4,2,0.16372088,15.713145
4,3,10.713163,19.681093
4,4,3.8718565,6.0849614
4,5,16.89426,3.585599
4,6,9.653951,14.364091
4,7,16.256985,14.753642
4,8,-3.9662168,6.701085
4,9,0.81569064,21.594173
4,10,5.398615,3.6458087
4,11,7.497189,7.6435556
4,12,9.240269,4.738987
4,13,10.329084,8.886784
4,14,-2.6328142,7.1633496
4,15,4.371551,6.572362
4,16,-1.5018839,2.9951346
4,17,18.500189,5.999343
4,18,8.555903,4.593334
4,19,7.9835825,4.862063
4,20,18.899717,24.102335
4,21,-2.3564131,3.312576
4,22,12.141778,10.009471
4,23,15.023618,3.1242769
4,24,-3.0678062,4.336248
4,25,6.7204595,5.789858
4,26,2.6513684,2.4794014
4,27,15.182348,15.292794
4,28,-4.799087,20.465727
4,29,12.197869,7.078526
4,30,10.2256155,2.276429
4,31,-1.0615431,2.8729272
4,32,17.67889,1.0257313
4,33,-5.0723653,4.77664
4,34,13.651865,15.489173
4,35,17.751347,1.0500078
5,0,0.4255038,11.751073
5,1,10.713045,19.53392
5,2,4.3494334,26.285755
5,3,0.8948911,21.545115
5,4,0.1571337,15.713147
5,5,3.8653193,6.0118036
5,6,9.653908,14.290662
5,7,16.243694,14.704666
5,8,16.874458,3.5612354
5,9,4.3781404,6.547963
5,10,-3.9664218,6.7986164
5,11,5.3986087,3.6701756
5,12,7.4971933,7.667964
5,13,9.233676,4.71461
5,14,10.315893,8.862368
5,15,-2.6790109,7.260943
5,16,-2.3893018,3.3369617
5,17,18.48701,5.999354
5,18,8.549306,4.5445795
5,19,-1.5150225,2.9951482
5,20,7.963845,4.862081
5,21,12.135189,10.009476
5,22,14.944586,3.099982
5,23,15.169439,15.464261
5,24,10.232159,2.2277007
5,25,6.720461,5.8874173
5,26,2.6513684,2.4794014
5,27,12.191338,7.1273518
5,28,-1.0680753,2.8485842
5,29,-3.0879385,4.555524
5,30,-4.813042,20.808947
5,31,1.4205862,4.3319664
5,32,13.658463,15.489171
5,33,14.471271,16.297405
5,34,17.672308,1.0257388
5,35,17.744818,1.0743756
5,36,-5.0723653,4.77664
5,37,10.217115,8.886859
6,0,4.3560266,26.31034
6,1,0.4123695,11.726642
6,2,10.706327,19.386755
6,3,9.660428,14.1682825
6,4,3.8718967,6.011798
6,5,0.90148646,21.545115
6,6,16.263536,14.72915
6,7,0.17027672,15.737619
6,8,-3.97972,6.871778
6,9,9.2402315,4.6658387
6,10,-1.5215918,2.995155
6,11,7.4774413,7.6435704
6,12,16.861092,3.4637182
6,13,5.392027,3.6945493
6,14,-2.3959146,3.3613207
6,15,10.315928,8.911217
6,16,4.5719824,15.100015
6,17,-2.6856298,7.2853374
6,18,18.513367,5.9993315
6,19,8.549315,4.5689597
6,20,15.156241,15.464265
6,21,14.970917,3.0999548
6,22,4.3650055,6.4991875
6,23,10.2321415,2.2033405
6,24,1.4140129,4.331973
6,25,-4.8076725,21.348389
6,26,7.937521,4.8377233
6,27,12.12201,10.009483
6,28,12.191364,7.1517625
6,29,-1.087821,2.8729544
6,30,2.6513684,2.4794014
6,31,18.88649,24.102331
6,32,17.672201,0.97701967
6,33,14.49763,16.272896
6,34,13.678255,15.489166
6,35,-3.0881264,4.652978
